rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.422973299026489,11.450504192,0.7370565533638,2.0897753107176804
16,32,3686400,3.4542375405629477,10.850199552,0.6805807948112488,1.975024483156625
64,128,14745600,3.481254879633586,12.231455744,0.681853711605072,1.977540125751622
